cve,descrip
"01","Persona"
"02","Personas"
"03","Personas"
"04","Personas"
"05","Personas"
"06","Personas"
"07","Personas"
"08","Personas"
"09","Personas"
"10","Personas"
"11","Personas"
"12","Personas"
