cve,descrip
"0","Ninguna bicicleta"
"1","bicicleta"
"2","bicicletas"
"3","bicicletas"
"4","bicicletas"
"5","bicicletas"
"6","bicicletas"
"7","bicicletas"
"8","8 y más bicicletas"
"9","No sabe"
