cve,descrip
"0","Ningún auto o camioneta"
"1","auto o camioneta"
"2","autos o camionetas"
"3","autos o camionetas"
"4","autos o camionetas"
"5","autos o camionetas"
"6","autos o camionetas"
"7","autos o camionetas"
"8","8 y más autos o camionetas"

