cve,descrip
"0","Ninguna motocicleta o motoneta"
"1","motocicleta o motoneta"
"2","motocicletas o motonetas"
"3","motocicletas o motonetas"
"4","motocicletas o motonetas"
"5","motocicletas o motonetas"
"6","motocicletas o motonetas"
"7","motocicletas o motonetas"
"8","8 y más motocicletas o motonetas"
"9","No sabe"
