cve,descrip
"01","Automóvil "
"02","Colectivo/Micro "
"03","Taxi (App internet)"
"04","Taxi (sitio, calle u otro)"
"05","Metro"
"06","Autobús RTP o M1"
"07","Bicicleta "
"08","Autobús"
"09","Moto "
"10","Trolebús "
"11","Metrobús o Mexibús "
"12","Tren ligero "
"13","Tren suburbano "
"14","Caminar en la calle"
"15","Mexicable"
"16","Bicitaxi "
"17","Mototaxi "
"18","Transporte escolar"
"19","Transporte de personal "
"20","Otro "
