cve,descrip
"00","Ninguno"
"01","Preescolar o kinder"
"02","Primaria"
"03","Secundaria"
"04","Carrera técnica con secundaria terminada"
"05","Normal básica"
"06","Preparatoria o bachillerato"
"07","Carrera técnica con preparatoria terminada"
"08","Licenciatura o profesional"
"09","Maestría o doctorado"
"99","No sabe"

